Date,Team,Acquired,Relinquished,Notes
2012-08-28,Browns,,• Marcus Benard,placed on ir with dislocated elbow
2012-08-28,Cowboys,,• Donavon Kemp,placed on ir with torn acl in left knee
2012-08-28,Eagles,,• Brian Hernandez,placed on ir
2012-08-28,Eagles,,• Tom Nelson,placed on ir
2012-08-28,Jaguars,,• Brock Bolen,placed on ir with knee injury
2012-08-28,Jets,,• Josh Baker,placed on ir with torn acl in right knee
2012-08-28,Lions,,• Slade Norris,placed on ir with undisclosed injury
2012-08-28,Packers,,• DeMarco Cosby,placed on ir with hamstring injury
2012-08-28,Packers,,• Du'ane Bennett / Duane Bennett,placed on ir with knee injury
2012-08-28,Packers,,• Johnny Jones (III),placed on ir with knee injury
2012-08-28,Packers,,• Ray Dominguez,placed on ir with undisclosed injury
2012-08-28,Packers,,• Shaky Smithson,placed on ir with undisclosed injury
2012-08-28,Patriots,,• Ross Ventrone,placed on ir with undisclosed injury
2012-08-28,Raiders,,• Ed Wang,placed on ir with shoulder injury
2012-08-28,Raiders,,• Rashawn Jackson,placed on ir with hip injury
2012-08-28,Rams,,• Danario Alexander,placed on ir
2012-08-28,Redskins,,• Lance Lewis (b. 1988-11-01),placed on ir with groin injury
2012-08-28,Seahawks,,• Cameron Morrah,placed on ir
2012-08-28,Seahawks,,• Jameson Konz,placed on ir with undisclosed injury
2012-08-28,Seahawks,,• Lazarius Levingston / Pep Levingston,placed on ir
2012-08-28,Texans,,• Greg Williams (b. 1988-12-06),placed on ir
2012-08-28,Texans,,• Ra'Shon Harris / Sunny Harris,placed on ir with triceps injury
2012-08-29,Colts,,• Jarred Fayson,placed on ir
2012-08-29,Raiders,,• Zach Hurd,placed on ir with head injury
2012-08-31,,,• Thomas Clayton,placed on ir
2012-08-31,Bengals,,• Tony Dye,placed on ir with ankle injury
2012-08-31,Bills,,• Zebrie Sanders,placed on ir with undisclosed injury
2012-08-31,Broncos,,• Jeremy Beal,placed on ir with left knee injury
2012-08-31,Cardinals,,• Javarris James,placed on ir with knee injury
2012-08-31,Cardinals,,• Richard Bartel / Rich Bartel,placed on ir with shoulder injury
2012-08-31,Chargers,,• Sean Cattouse,placed on ir with undisclosed injury
2012-08-31,Chiefs,,• Alex Tanney,placed on ir with undisclosed injury
2012-08-31,Chiefs,,• DeQuan Menzie,placed on ir with undisclosed injury
2012-08-31,Colts,,• Jabin Sambrano,placed on ir with undisclosed injury
2012-08-31,Colts,,• Korey Lindsey,placed on ir with undisclosed injury
2012-08-31,Falcons,,• Shann Schillinger,placed on ir with fractured ankle
2012-08-31,Giants,,• Shaun Rogers,placed on ir with blood clot in leg
2012-08-31,Giants,,• Terrell Thomas,placed on ir with right knee injury
2012-08-31,Jaguars,,• Will Rackley,placed on ir with ankle injury
2012-08-31,Packers,,• Vic So'oto,placed on ir with ankle injury
2012-08-31,Patriots,,• Jeff Demps,placed on ir with leg injury
2012-08-31,Raiders,,• Brandon Underwood,placed on ir with hip/groin injury
2012-08-31,Raiders,,• Marquette King,placed on ir with toe injury
2012-08-31,Raiders,,• Tory Humphrey,placed on ir with hamstring injury
2012-08-31,Ravens,,• Damien Berry,placed on ir with neck/shoulder injury
2012-08-31,Ravens,,• Justin Boren,placed on ir with foot injury
2012-08-31,Ravens,,• Matt Balasavage,placed on ir with ankle injury
2012-08-31,Ravens,,• Ricky Brown (Gerald),placed on ir with head injury
2012-08-31,Ravens,,• Tommy Streeter,placed on ir with foot injury
2012-08-31,Saints,,• Joe Banyard,placed on ir with undisclosed injury
2012-08-31,Saints,,• Jose Gumbs,placed on ir with undisclosed injury
2012-08-31,Saints,,• Marquis Johnson,placed on ir with undisclosed injury
2012-08-31,Saints,,• Nick Toon,placed on ir with undisclosed injury
2012-08-31,Seahawks,,• Matt McCoy (Garrett),placed on ir with knee injury
2012-08-31,Steelers,,• Jeremy Kapinos,placed on ir
2012-08-31,Steelers,,• Sean Spence,placed on ir with torn acl in left knee
2012-08-31,Texans,,• Rashad Butler,placed on ir with triceps injury
2012-08-31,Titans,,• Dave Ball,placed on ir with concussion
2012-08-31,Titans,,• Kevin Malast,placed on ir with undisclosed injury
2012-08-31,Titans,,• Leger Douzable,placed on ir with shoulder injury
2012-08-31,Titans,,• Ryan Durand,placed on ir with undisclosed injury
2012-08-31,Titans,,• Terrence Wheatley,placed on ir with knee injury
2012-08-31,Vikings,,• Demarcus Love,placed on ir with pectoral injuries
2012-08-31,Ravens,,• Bruce Figgins,placed on ir with shoulder injury
2012-09-01,Bears,,• Dom DeCicco,placed on ir
2012-09-01,Buccaneers,,• Desmond Wynn,placed on ir with undisclosed injury
2012-09-01,Cardinals,,• Brandon Williams (b. 1988-06-21),placed on ir
2012-09-01,Cardinals,,• Stephen Williams (Jacob),placed on ir
2012-09-01,Chiefs,,• Mikail Baker,placed on ir
2012-09-01,Colts,,• Brandon King (Marico),placed on ir with undisclosed injury
2012-09-01,Colts,,• Deji Karim,placed on ir with undisclosed injury
2012-09-01,Colts,,• James Aiono,placed on ir with undisclosed injury
2012-09-01,Colts,,• Mike Newton,placed on ir with undisclosed injury
2012-09-01,Colts,,• Tim Fugger,placed on ir with undisclosed injury
2012-09-01,Dolphins,,• Jarrell Root,placed on ir with leg injury
2012-09-01,Falcons,,• Kerry Meier,placed on ir
2012-09-01,Giants,,• Bruce Johnson (b. 1987-02-18),placed on ir
2012-09-01,Jaguars,,• Odrick Ray,placed on ir with undisclosed injury
2012-09-01,Lions,,• Austin Wells,placed on ir with undisclosed injury
2012-09-01,Lions,,• Reshard Langford,placed on ir
2012-09-01,Panthers,,• Darius Butler,placed on ir
2012-09-01,Panthers,,• Lee Ziemba,placed on ir with knee injury
2012-09-01,Panthers,,• Tauren Poole,placed on ir with ribs injury
2012-09-01,Redskins,,• Dorson Boyce,placed on ir with undisclosed injury
2012-09-01,Redskins,,• Tristan Davis,placed on ir with undisclosed injury
2012-09-01,Seahawks,,• Cooper Helfet,placed on ir
2012-09-01,Seahawks,,• Vai Taua,placed on ir with undisclosed injury
2012-09-01,Texans,,• Jerrell Jackson,placed on ir with undisclosed injury
2012-09-02,Browns,,• Scott Paxson,placed on ir
2012-09-02,Jaguars,,• Zach Miller (Scott),placed on ir with calf injury
2012-09-02,Raiders,,• Jamie Cumbie,placed on ir with foot injury
2012-09-03,49ers,,• Parys Haralson,placed on ir with arm injury
2012-09-03,Cardinals,,• Jeremy Bridges,placed on ir with thumb injury
2012-09-04,Bengals,,• Kyle Cook,placed on ir with foot injury
2012-09-04,Bills,,• Ron Brooks (a),placed on ir with foot injury
2012-09-04,Chargers,,• Vincent Brown Jr.,placed on ir with ankle injury
2012-09-04,Dolphins,,• Artis Hicks,placed on ir with neck injury
2012-09-04,Jaguars,,• Brett Brackett,placed on ir with knee injury
2012-09-05,Patriots,,• Visanthe Shiancoe,placed on ir with hamstring injury
2012-09-07,Falcons,,• Tim Toone,placed on ir
2012-09-07,Steelers,,• David DeCastro,placed on ir with surgery on knee
2012-09-08,Bears,,• Lorenzo Booker,placed on ir with head injury
2012-09-08,Saints,,• Marcel Jones,placed on ir with left knee injury
2012-09-10,Redskins,,• Jordan Bernstine,"placed on ir with torn acl, mcl, pcl in right knee"
2012-09-10,Redskins,,• Jordan Morris,placed on ir
2012-09-11,Bills,,• David Nelson (b),placed on ir with torn acl in right knee
2012-09-11,Broncos,,• Ty Warren,placed on ir with triceps injury
2012-09-11,Falcons,,• Brent Grimes,placed on ir with torn achilles tendon
2012-09-11,Redskins,,• Nick Sundberg,placed on ir with arm injury
2012-09-12,Rams,,• Scott Wells,placed on ir with left foot injury
2012-09-12,Saints,,• Adrian Arrington,placed on ir with right knee injury
2012-09-14,Bengals,,• Thomas Howard (Arquis),placed on ir with torn acl in knee
2012-09-15,Raiders,,• Jacoby Ford,placed on ir with foot injury
2012-09-15,Raiders,,• Ronald Bartell / Ron Bartell,placed on ir with shoulder injury
2012-09-18,Bengals,,• Jamaal Anderson,placed on ir with torn left quadriceps tendon
2012-09-18,Broncos,,• Philip Blake,placed on ir with thumb injury
2012-09-18,Eagles,,• Jason Kelce,"placed on ir with torn acl, mcl in right knee"
2012-09-18,Rams,,• Rokevious Watkins,placed on ir with ankle injury
2012-09-18,Redskins,,• Adam Carriker,placed on ir with torn right quadriceps tendon
2012-09-18,Redskins,,• Brian Orakpo,placed on ir with torn left pectoral muscle
2012-09-19,Lions,,• Drayton Florence,placed on ir with forearm injury
2012-09-21,Buccaneers,,• Sammie Stroughter,placed on ir with fractured right foot
2012-09-25,Buccaneers,,• Adrian Clayborn,placed on ir with torn ligaments in right knee
2012-09-25,Chiefs,,• Jacques Reeves,placed on ir with hamstring injury
2012-09-25,Colts,,• Austin Collie,placed on ir with ruptured patellar tendon in right knee
2012-09-25,Lions,,• Ben Graham,placed on ir with calf injury
2012-09-26,Cardinals,,• Chris Wells / Beanie Wells,placed on ir with turf toe
2012-09-26,Chiefs,,• Rodney Hudson,placed on ir with fractured right leg
2012-09-26,Cowboys,,• Barry Church,placed on ir with torn right achilles tendon
2012-09-26,Redskins,,• Crezdon Butler,placed on ir with hamstring injury
2012-09-26,Redskins,,• Roy Helu Jr.,placed on ir with achilles tendon injury
2012-09-26,Titans,,• Keyunta Dawson,placed on ir with hamstring injury
2012-09-29,Broncos,,• Quinton Carter,placed on ir with knee injury
2012-10-01,Broncos,,• J.D. Walton,placed on ir with left ankle injury
2012-10-02,Jets,,• Dedrick Epps,placed on ir with knee injury
2012-10-03,Chiefs,,• Kevin Boss,placed on ir with concussion
2012-10-03,Dolphins,,• Mike Rivera,placed on ir with groin injury
2012-10-03,Jets,,• Santonio Holmes,placed on ir with left foot injury
2012-10-06,Panthers,,• Mike Pollak,placed on ir with shoulder injury
2012-10-08,Bengals,,• Bernard Scott,placed on ir with left knee injury
2012-10-08,Colts,,• Seth Olsen,placed on ir with knee injury
2012-10-09,Bills,,• Colin Brown,placed on ir with hamstring injury
2012-10-09,Buccaneers,,• Anthony Gaitor,placed on ir with hamstring injury
2012-10-09,Cardinals,,• Ryan Williams (a),placed on ir with left shoulder injury
2012-10-10,Jets,,• Josh Mauga,placed on ir with torn pectoral muscle
2012-10-10,Packers,,• Cedric Benson,placed on ir with foot injury
2012-10-10,Texans,,• Brian Cushing,placed on ir with torn acl in left knee
2012-10-11,Panthers,,• Ryan Kalil,placed on ir with lisfranc injury in left foot
2012-10-14,Browns,,• Jordan Norwood,placed on ir with left foot injury
2012-10-14,Jets,,• Darrelle Revis,placed on ir with torn acl in left knee
2012-10-15,Packers,,• Brandon Saine,placed on ir with torn acl in knee
2012-10-16,Ravens,,• Lardarius Webb,placed on ir with torn acl in left knee
2012-10-16,Texans,,• Tim Jamison,placed on ir with torn right achilles tendon
2012-10-17,Packers,,• D.J. Smith,placed on ir with torn acl in knee
2012-10-17,Panthers,,• Kenny Onatolu,placed on ir with torn triceps
2012-10-17,Ravens,,• Ray Lewis (Anthony),placed on ir with triceps injury
2012-10-20,Giants,,• Da'Rel Scott,placed on ir with knee injury
2012-10-22,Browns,,• Jason Pinkston,placed on ir with blood clot in lungs
2012-10-22,Chargers,,• Nate Kaeding,placed on ir with right groin injury
2012-10-22,Panthers,,• Chris Gamble,placed on ir with shoulder injury
2012-10-22,Redskins,,• Fred Davis (Martin),placed on ir with torn left achilles tendon
2012-10-24,Cowboys,,• Chris Jones (b. 1989-07-21),placed on ir with left knee injury
2012-10-24,Cowboys,,• Sean Lee,placed on ir with ligament damage in right big toe
2012-10-24,Lions,,• Nate Burleson,placed on ir with fractured right leg
2012-10-24,Panthers,,• Jon Beason,placed on ir with knee injury
2012-10-24,Titans,,• Zac Diles,placed on ir with fractured leg
2012-10-25,Jaguars,,• Daryl Smith (L.),placed on ir with groin injury
2012-10-25,Texans,,• David Hunter,placed on ir with toe injury
2012-10-26,Patriots,,• Ras-I Dowling,placed on ir with thigh injury
2012-10-26,Saints,,• Daniel Graham / Dan Graham (b),placed on ir with knee injury
2012-10-26,Titans,,• Javon Ringer,placed on ir with torn mcl in knee
2012-10-26,Vikings,,• Chris Cook (a),placed on ir with broken arm
2012-10-27,Browns,,• Scott Fujita,"placed on ir with neck, shoulder injury"
2012-10-30,Broncos,,• Joe Mays,placed on ir with fractured fibula / left ankle
2012-10-30,Browns,,• Emmanuel Stephens,placed on ir with neck injury
2012-10-30,Buccaneers,,• Carl Nicks,placed on ir with torn plantar plate in left toe
2012-10-30,Buccaneers,,• Danny Noble,placed on ir with hamstring injury
2012-10-30,Chargers,,• Richard Goodman,placed on ir with hamstring injury
2012-10-30,Falcons,,• Kerry Meier,placed on ir
2012-10-30,Rams,,• Matt Daniels,placed on ir with torn acl in right knee
2012-10-30,Seahawks,,• Ben Obomanu,placed on ir with wrist injury
2012-11-01,Lions,,• Dwight Bentley / Bill Bentley,placed on ir with shoulder injury
2012-11-02,Bills,,• Chad Rinehart,placed on ir with ankle injury
2012-11-02,Browns,,• Brian Sanford,placed on ir with knee injury
2012-11-06,Bills,,• Erik Pears,placed on ir with hip injury
2012-11-06,Bills,,• Terrence McGee,placed on ir with left knee injury
2012-11-06,Cardinals,,• O'Brien Schofield,placed on ir with left ankle injury
2012-11-06,Falcons,,• Garrett Reynolds,placed on ir with shoulder / back injury
2012-11-06,Panthers,,• Kealoha Pilares,placed on ir with shoulder injury
2012-11-07,Cowboys,,• Orie Lemon,placed on ir with right hamstring injury
2012-11-07,Dolphins,,• Richard Marshall (b),placed on ir with back injury
2012-11-07,Eagles,,• Todd Herremans,placed on ir with right foot/ankle injury
2012-11-07,Packers,,• Nick Perry (Joel),placed on ir with left wrist injury
2012-11-07,Titans,,• Leroy Harris Jr. (b. 1984-06-06),placed on ir with partially torn acl in right knee
2012-11-10,Giants,,• Michael Coe,placed on ir with hamstring injury
2012-11-10,Raiders,,• Shawntae Spencer,placed on ir with foot injury
2012-11-12,Chiefs,,• Glenn Dorsey,placed on ir with calf injury
2012-11-12,Colts,,• Drake Nevis,placed on ir with hand injury
2012-11-12,Colts,,• Jerraud Powers,placed on ir with toe injury
2012-11-12,Packers,,• Bryan Bulaga,placed on ir with right hip injury
2012-11-13,Buccaneers,,• Quincy Black,placed on ir with neck injury
2012-11-13,Falcons,,• Tommy Gallarda,placed on ir with shoulder injury
2012-11-13,Jets,,• Isaiah Trufant,placed on ir with knee injury
2012-11-13,Ravens,,• Bobby Rainey,placed on ir with knee injury
2012-11-14,Cowboys,,• Kenyon Coleman,placed on ir with torn triceps
2012-11-14,Giants,,• Markus Kuhn,placed on ir with torn acl in knee
2012-11-14,Panthers,,• Thomas Keiser,placed on ir with elbow injury
2012-11-14,Raiders,,• Travis Goethel,placed on ir with torn acl in knee
2012-11-15,Steelers,,• Chris Carter (Darnell),placed on ir with abdominal injury
2012-11-17,Chiefs,,• Jake O'Connell,placed on ir with ankle injury
2012-11-17,Cowboys,,• Matt Johnson (c),placed on ir with hamstring injury
2012-11-17,Lions,,• Amari Spievey,placed on ir with concussion
2012-11-17,Ravens,,• Christian Thompson,placed on ir with knee injury
2012-11-19,Bills,,• Mike Caussin,placed on ir with knee injury
2012-11-20,Redskins,,• Brandon Meriweather,placed on ir with knee injury
2012-11-21,Broncos,,• Willis McGahee,placed on ir with knee injury
2012-11-21,Chargers,,• Mike Windt,placed on ir with wrist injury
2012-11-21,Jaguars,,• Blaine Gabbert,"placed on ir with right forearm, left shoulder injuries"
2012-11-21,Jaguars,,• Laurent Robinson,placed on ir with concussion
2012-11-22,Buccaneers,,• Arrelious Benn,placed on ir with knee injury
2012-11-23,Chargers,,• Jared Gaither,placed on ir with groin injury
2012-11-26,Bears,,• Lance Louis,placed on ir with torn acl in left knee
2012-11-26,Cowboys,,• Bruce Carter (Edward),placed on ir with dislocated left elbow
2012-11-26,Giants,,• Andre Brown (b),placed on ir with fractured left fibula
2012-11-26,Ravens,,• Anthony Levine,placed on ir with shoulder injury
2012-11-26,Redskins,,• Keenan Robinson,placed on ir with pectoral muscle injury
2012-11-26,Steelers,,• Marcus Gilbert (Christopher),placed on ir with ankle injury
2012-11-27,49ers,,• Kendall Hunter,placed on ir with achilles tendon injury
2012-11-27,Bills,,• Kyle Williams (Derrick),placed on ir with torn acl in left knee
2012-11-27,Buccaneers,,• Cody Grimm,placed on ir with hamstring injury
2012-11-27,Buccaneers,,• Jeremy Trueblood,placed on ir with shoulder injury
2012-11-27,Chargers,,• Brandyn Dombrowski,placed on ir
2012-11-27,Chargers,,• Johnnie Troutman,placed on ir
2012-11-27,Colts,,• Fili Moala,placed on ir with torn acl in knee
2012-11-27,Colts,,• Josh Chapman,placed on ir with knee injury
2012-11-27,Eagles,,• DeSean Jackson,placed on ir with fractured ribs
2012-11-27,Eagles,,• Jason Peters,placed on ir with achilles tendon injury
2012-11-27,Jaguars,,• Jalen Parmele,placed on ir with groin injury
2012-11-27,Jaguars,,• William Middleton,placed on ir with concussion
2012-11-27,Packers,,• Derek Sherrod,placed on ir
2012-11-27,Panthers,,• Ron Edwards,placed on ir with dislocated left elbow
2012-11-27,Saints,,• Bryce Harris,placed on ir with fractured leg
2012-11-27,Titans,,• Darren Evans (b. 1988-11-09),placed on ir with quadriceps injury
2012-11-28,Cardinals,,• Lyle Sendlein,placed on ir with torn mcl in knee
2012-11-28,Chargers,,• Atari Bigby,placed on ir with groin injury
2012-11-28,Jaguars,,• D'Anthony Smith,placed on ir with neck injury / concussion
2012-12-01,Cowboys,,• Ben Bass,placed on ir with ankle injury
2012-12-01,Packers,,• Andrew Quarless,placed on ir with knee injury
2012-12-01,Packers,,• Sean Richardson,placed on ir with back injury
2012-12-03,Texans,,• Brice McCain,placed on ir with left foot injury
2012-12-04,Bengals,,• Mohamed Sanu,placed on ir with foot injury
2012-12-04,Chargers,,• David Molk,placed on ir with thumb injury
2012-12-04,Chargers,,• Seyi Ajirotutu,placed on ir with hand injury
2012-12-04,Colts,,• Justin Hickman,placed on ir with hamstring injury
2012-12-04,Dolphins,,• Jake Long,placed on ir with triceps injury
2012-12-04,Lions,,• Ryan Broyles,placed on ir with torn acl in left knee
2012-12-04,Lions,,• Titus Young,placed on ir with knee injury
2012-12-04,Panthers,,• Antwan Applewhite,placed on ir with hamstring injury
2012-12-04,Panthers,,• Sherrod Martin,"placed on ir with torn acl, mcl in right knee"
2012-12-04,Patriots,,• Julian Edelman,placed on ir with foot injury
2012-12-04,Titans,,• David Stewart,placed on ir with leg injury
2012-12-04,Titans,,• Robert Johnson (b. 1987-02-13),placed on ir with foot injury
2012-12-05,Bears,,• Patrick Trahan,placed on ir with undisclosed injury
2012-12-05,Bills,,• Chris Kelsay,placed on ir with neck injury
2012-12-05,Chargers,,• Antwan Barnes,placed on ir with hamstring injury
2012-12-05,Cowboys,,• Phil Costa,placed on ir with ankle injury
2012-12-05,Packers,,• Johnny White,placed on ir with concussion
2012-12-05,Seahawks,,• Braylon Edwards,placed on ir with knee injury
2012-12-05,Titans,,• Steve Hutchinson,placed on ir with right knee injury
2012-12-06,Bills,,• Chris Hairston,placed on ir with knee injury
2012-12-06,Chiefs,,• Allen Bailey,placed on ir with ankle injury
2012-12-06,Giants,,• Sean Locklear,placed on ir with knee injury
2012-12-06,Vikings,,• Percy Harvin,placed on ir with ankle injury
2012-12-08,Cowboys,,• Orlando Scandrick,placed on ir with hand injury
2012-12-08,Eagles,,• Nate Menkin,placed on ir with throat injury
2012-12-10,Buccaneers,,• Myron Lewis,placed on ir with hamstring injury
2012-12-10,Cardinals,,• Rich Ohrnberger,placed on ir with knee injury
2012-12-11,49ers,,• Demarcus Dobbs,placed on ir with knee injury
2012-12-11,Bears,,• Craig Steltz,placed on ir with chest injury
2012-12-11,Bears,,• Robbie Gould,placed on ir with left calf injury
2012-12-11,Bears,,• Sherrick McManis,placed on ir with knee injury
2012-12-11,Bills,,• Fred Jackson,placed on ir with sprained mcl in right knee
2012-12-11,Colts,,• Donald Brown,placed on ir with ankle injury
2012-12-11,Colts,,• Robert Hughes (b. 1989-06-21),placed on ir with knee injury
2012-12-11,Jaguars,,• Michael Brewster / Mike Brewster,placed on ir with hand injury
2012-12-11,Panthers,,• Haruki Nakamura,placed on ir with groin injury
2012-12-11,Patriots,,• Donte' Stallworth / Donte Stallworth,placed on ir with ankle injury
2012-12-12,Cardinals,,• Kevin Kolb,placed on ir with rib injury
2012-12-12,Chargers,,• Darrell Stuckey,placed on ir with hamstring injury
2012-12-12,Chargers,,• Vaughn Martin,placed on ir with groin injury
2012-12-12,Lions,,• Corey Williams (Dornail),placed on ir with knee injury
2012-12-13,Titans,,• Jared Cook,placed on ir with torn rotator cuff in shoulder
2012-12-15,Bengals,,• Chris Pressley,placed on ir with right knee injury
2012-12-15,Chiefs,,• Dwayne Bowe,placed on ir with rib injury
2012-12-15,Saints,,• Charles Brown (a),placed on ir with knee injury
2012-12-15,Saints,,• Malcolm Jenkins,placed on ir with hamstring injury
2012-12-15,Seahawks,,• Charly Martin,placed on ir with calf injury
2012-12-17,Bears,,• Matt Toeaina,placed on ir with knee injury
2012-12-18,Bears,,• Michael Bush,placed on ir with rib injury
2012-12-18,Bills,,• Arthur Moats,placed on ir with ankle injury
2012-12-18,Browns,,• James-Michael Johnson,placed on ir with knee injury
2012-12-18,Browns,,• T.J. Ward,placed on ir with knee injury
2012-12-18,Chargers,,• Malcom Floyd,placed on ir with ankle injury
2012-12-18,Chargers,,• Reggie Wells,placed on ir with ankle injury
2012-12-18,Chargers,,• Ryan Mathews,placed on ir with clavicle injury
2012-12-18,Dolphins,,• Charles Clay (b. 1989-02-13),placed on ir with knee injury
2012-12-18,Eagles,,• Clay Harbor,placed on ir with back injury
2012-12-18,Jaguars,,• Andre Branch,placed on ir with groin / hamstring injury
2012-12-18,Jaguars,,• Jordan Todman,placed on ir with calf injury
2012-12-18,Lions,,• Jacob Lacey,placed on ir with left knee injury
2012-12-18,Panthers,,• Zack Williams,placed on ir with torn acl in knee
2012-12-18,Saints,,• Corey White (b. 1990-05-09),placed on ir with knee injury
2012-12-18,Steelers,,• DeMarcus Van Dyke,placed on ir with right shoulder injury
2012-12-18,Steelers,,• Willie Colon,placed on ir with knee injury
2012-12-19,Dolphins,,• Daniel Thomas,placed on ir with knee injury
2012-12-19,Jets,,• Stephen Hill,placed on ir with knee injury
2012-12-19,Lions,,• Nick Fairley,placed on ir with shoulder injury
2012-12-19,Rams,,• Harvey Dahl,placed on ir with biceps injury
2012-12-20,Bills,,• Leodis McKelvin,placed on ir with groin injury
2012-12-20,Seahawks,,• Jason Jones (Duane),placed on ir with knee injury
2012-12-21,Dolphins,,• Dan Carpenter,placed on ir with right groin injury
2012-12-22,Buccaneers,,• Aaron Morgan,placed on ir with shoulder injury
2012-12-22,Jaguars,,• Dwight Lowery,placed on ir with foot injury
2012-12-22,Ravens,,• Jameel McClain,placed on ir with neck injury
2012-12-24,Bills,,• Scott Chandler,placed on ir with knee injury
2012-12-24,Browns,,• Mohamed Massaquoi,placed on ir with knee injury
2012-12-24,Falcons,,• Kevin Cone,placed on ir with groin injury
2012-12-24,Jaguars,,• Cecil Shorts III,placed on ir with concussion
2012-12-24,Jaguars,,• Greg Jones (K.),placed on ir with fractured fibula
2012-12-24,Jaguars,,• Rashad Jennings,placed on ir with shoulder injury
2012-12-25,Bengals,,• Dre Kirkpatrick,placed on ir with knee injury
2012-12-25,Jaguars,,• Mark Asper,placed on ir
2012-12-26,Browns,,• Usama Young,placed on ir with thumb injury
2012-12-26,Cardinals,,• Rob Housler,placed on ir with shoulder injury
2012-12-26,Chargers,,• Aubrayo Franklin,placed on ir with knee injury
2012-12-26,Chargers,,• Brandon Taylor,placed on ir with knee injury
2012-12-26,Eagles,,• Nick Foles,placed on ir with fractured right hand
2012-12-26,Giants,,• Travis Beckum,placed on ir with knee injury
2012-12-26,Panthers,,• Amini Silatolu,placed on ir with wrist injury
2012-12-26,Ravens,,• LaQuan Williams,placed on ir with thigh injury
2012-12-26,Steelers,,• Baron Batch,placed on ir with fractured arm
2012-12-26,Steelers,,• Heath Miller,placed on ir with right knee injury
2012-12-26,Steelers,,• Ivan Taylor / Ike Taylor,placed on ir with ankle injury
2012-12-27,Jets,,• Aaron Berry,placed on ir with hamstring injury
2012-12-27,Raiders,,• Richard Seymour,placed on ir with hamstring injury
2012-12-28,49ers,,• Mario Manningham,placed on ir with knee injury
2012-12-28,Bengals,,• Mike Nugent,placed on ir with strained right calf
2012-12-28,Jaguars,,• Maurice Jones-Drew,placed on ir with foot injury
2012-12-28,Saints,,• Pierre Thomas,placed on ir with knee injury
2012-12-28,Steelers,,• (Burnell) Mike Wallace,placed on ir with hip injury
2012-12-28,Steelers,,• Curtis Brown (Jamall),placed on ir with ankle injury
2012-12-28,Steelers,,• Mike Adams (b. 1990-03-10),placed on ir with ankle injury
2012-12-28,Titans,,• Colin McCarthy,placed on ir with concussion
2012-12-29,Chiefs,,• Terrance Copper,placed on ir with knee injury
2012-12-29,Lions,,• Sammie Hill / Sammie Lee Hill,placed on ir with toe injury
2012-12-29,Raiders,,• Phillip Adams,placed on ir with groin injury
2012-12-31,Seahawks,,• Walter Thurmond III,placed on ir with hamstring injury
2013-01-01,Texans,,• Darryl Sharpton,placed on ir with hip injury
2013-01-04,Redskins,,• Domonique Johnson / D.J. Johnson,placed on ir with knee injury
2013-01-04,Texans,,• Tim Dobbins,placed on ir with ankle injury
2013-01-09,Seahawks,,• Chris Clemons (b. 1981-10-30),placed on ir with torn acl in left knee
2013-01-09,Seahawks,,• Steven Hauschka,placed on ir with calf injury
2013-01-11,Ravens,,• Jah Reid,placed on ir with toe injury
2013-01-17,Patriots,,• Rob Gronkowski,placed on ir with fractured forearm
2013-05-07,Patriots,,• Quentin Hines,placed on ir with torn labrum in shoulder
2013-05-07,Steelers,,• Anthony Rashad White,placed on ir with undisclosed injury
2013-05-10,Cowboys,,• Brian Price (Larisso),placed on ir with undisclosed injury
2013-05-15,Bills,,• Kevin Norrell,placed on ir with undisclosed injury
2013-05-15,Seahawks,,• Chandler Fenner,placed on ir with undisclosed injury
2013-05-16,Dolphins,,• Chas Alecxih,placed on ir with undisclosed injury
2013-05-17,Chiefs,,• Luke Patterson,placed on ir with undisclosed injury
2013-05-17,Dolphins,,• Taylor Stockemer,placed on ir with undisclosed injury
2013-05-17,Giants,,• Antonio Dennard,placed on ir with undisclosed injury
2013-05-17,Giants,,• Michael Palmer,placed on ir with undisclosed injury
2013-05-22,Cardinals,,• Javone Lawson,placed on ir with achilles tendon injury
2013-05-23,Panthers,,• Logan Brock,placed on ir with undisclosed injury
2013-05-29,Rams,,• C.J. Akins,placed on ir with achilles tendon injury
2013-05-29,Seahawks,,• Anthony McCoy,placed on ir with achilles tendon injury
2013-06-03,Patriots,,• T.J. Moe,placed on ir with achilles tendon injury
2013-06-04,Steelers,,• Zack Pianalto,placed on ir with calf injury
2013-06-06,Cowboys,,• Robert Callaway / Rob Callaway,placed on ir recovering from microfracture surgery on knee
2013-06-06,Steelers,,• Justin King,placed on ir with hamstring injury
2013-06-07,Falcons,,• Adam Nissley,placed on ir with undisclosed injury
2013-06-11,49ers,,• Alex Debniak,placed on ir with undisclosed injury
2013-06-13,Redskins,,• Doug Worthington,placed on ir with biceps injury
2013-06-13,Redskins,,• Deangelo Peterson,placed on ir with foot injury
2013-06-19,49ers,,• Brandon Carswell,placed on ir with torn acl in right knee
2013-06-20,Panthers,,• R.J. Webb,placed on ir with torn acl in right knee
2013-07-18,Rams,,• Phillip Steward,placed on ir with achilles tendon injury
2013-07-24,Jets,,• Thomas Mayo,placed on ir with knee injury
2013-07-26,Texans,,• Phillip Supernaw,placed on ir with foot injury
2013-07-28,Broncos,,• Lucas Reed,placed on ir with hamstring injury
2013-07-28,Chargers,,• Jonas Mouton,placed on ir with torn acl in right knee
